date,content
59,친절 감사드립니다
60,고객센터 연락 너무 안 되고 여행 가서 숙소가 일방적으로 예약 취소했는데 적절하게 필요한 시일 내에 조치도 안 취했음 다시는 안 쓸 거임
61,해외여행 갈 때는 무조건 아고다에서 예약합니다 쉽고 싸고 타 사이트랑 비교하면 무조건 다 좋습니다
62,동의를 다했음에도 불구하고 결제가 몇 십분 동안 안 됨
63,페이스북 로그인이 안 돼 요 웹에서는 잘 되는데 앱은 영 못 쓰겠네요
64,웹에서는 편했는데 어플은 숙소 검색조차 제대로 안 됨
65,간결하게 구성이 잘 돼있어서 좋습니다
66,늘 잘 이용하고 있어요
67,자세한 정보가 도움이 많이 됩니다
68,페이스북으로 로그인이 왜 안 되죠 빨리 고쳐주세요
69,깨끗하고 편하고 조용하게 쉬었어요
70,항상 애용하는 숙박 앱
71,페이스북 로그인 오류 떠요 그리고 카드 무이자 할부 가능하다 하면서 결제할 때 뜨지도 않고 뭐 하자는 걸까요
72,굉장히 오류가 심함 오류가 났을 시 한번 결제 진행하면 더 이상 손대지 말고 다른 호텔도 잡지 말고 시간은 기다릴 것 나중에 결제 메일 엄청 많이 온다
73,응가치 차차차
74,호텔 예약 좋아요
75,아고 다 싸고 좋네요
76,이 야 여기다가 댓글 달아주심 될 걸 왜 이메일로 답장해서 리뷰글 수정해 달래 웃기네ㅋㅋㅋㅋㅋ 여기 앱 쓰지 마세요 환불 처리 똑바로 해주지도 않고 무슨
77,입지 좋고 구성비 높고 깨끗하고 쾌적한 곳으로 매년 선택하고 있습니다
78,편해요 간편하고
79,언제나 편리한 예약 좋은 가격 형성
80,가격 다르고 장바구니 안 넣어지고 뭐만 하면 비싸지고 할인코드 안 받고 아주 난리도 아님 첫 여행에 급한 거 아니었으면 다신 안 쓰고 싶음
81,사용이 편리하고 구성비 좋은 호텔 찾기가 편해요
82,사랑합니다 아고 다
83,좋아요 쿠폰으로 싸게 예약했습니다
84,결제 카드를 등록한 것이 다음번 예약에서도 적용 안 됩니다 결제 기능 개선하세요
85,항공권 취소가 안 되는 사기집단
86,결제할 때 버그가 좀 있긴 했지만 그래도 가격이 저렴한 게 잘 나와서 잘 쓰고 있음
87,이거 추천받아 처음으로 사용했는데요 예약 취소로 고객센터에 연락을 한번 한 거 같습니다ㅎㅎ아고다 사장은 알고 있나 고객센터는 전화 돌려놓고 논다는 거시 간 분 동안 통 연락 자체가 안됨 그냥 만 원이 만 원 더 주고 딴 데가 더 좋음 왜 전화는 받잔어
88,좋은데 알림이 너무 자주 떠서 성가셔요
89,무슨 최저가인 척 올려놓고 최저가도 아니고 가장 큰 문제는 환불이 안 되는 규정이 도대체 왜 있는 거죠 그런 숙박시설을 올려놓은 것도 문제지만 하루 묵고 최악이라 취소하려는 데 취소가 안 되면 나머지는 날리던 지 계속 묵으라는 건가요 심각하네요 환자인 부모님이 거기 가셔서 춥고 가스 냄새나고 그 일 겪으시고 취소하려고 두 시간 내내 대구에서 저랑 연락하며 알아보는데 방법도 없고 돈도 날리고 여행도 망했어요 인터넷 찾아보니 상단에 있는 거다 그런 식으로 취소 안 되는 규정 껴 있다던 데 노인들이 무슨 수로 그것까지 다 알아보고 예약합니까 고객센터도 오지게 연결 안 되고 숙소에 대해 불만족이어도 환불 안 되고 지금 제 여행 망친 것보다 더 화가 나네요
90,가격을 한눈에 결재도 빠르고 좋아요
91,숙박 어플 중 최고입니다
92,현장 직접 결제 항목이 있어서 좋긴 한데 훨씬 비싸네요 ㅠㅠ
93,세금 포함 알려주세요
94,저렴한 요금 Good
95,고객센터 애들 싹수없고 환불 수수료 알려준다 해놓고 안 함 패키지 상품 환불 시 항공권 속 소권 따로 취소해야 하는데 어플의 예약관리에서 볼 수 있는 건 속소 예약권 만 나옴 잘못 낚이기 쉬우니 쓰지 마세요
96,예약 및 결제가 간편해서 좋아요
97,타사 지니어스 레벨인데 넘어왔어요
98,생각보다 비싼 청구금액
99,잘 쓰고 있어요
100,여행 계획을 짜다 보면 여러 가지 변수가 생깁니다 아고다와 전화통화는 절대 꿈도 꾸지 마세요 통화 절대 연결 안 됩니다 메일 보내면 답장은 와요 답장도 오고 전화가 올 때도 있습니다아고다는 다른 엡보다 호텔을 찾기 편하고 사진이 많이 나와 있습니다
101,여러분 진짜 아고다 이용하지 마세요 개인 정보 카드 절대 등록해 두지 마시고 요 인터넷에 아고다 예약 취소 검색해 보시면 아실 수 있으실 거예요 분명히 첫 번째 결제 취소됐다고 해서 다시 했는데 이 중 결제됐고 요 호텔 체크인 후에 알아서 취소하려고 하니 전화 안 받습니다 해외 호텔이라 말도 잘 안 통하고요 제 뒤에 다른 한국 분들도 계셨는데 그분들도 결제 확인이 안 돼서 호텔에서 또 결제하라고 했다고 하시며 만원 날렸다고 하십니다 저도 만원 넘게 날리고 지금 여러 방도로 알아보고 있지만 해결이 안 될 거 같네요 남은 여행 기간이 아주 즐겁겠습니다 망해라 아고다
102,Itshardtoc hangepersonalinform ationandwhenItypecardnum bers Ionlycantypeonenum ber
103,저렴하게 예약
104,숙박 선택이 수월해요
105,예약 할인 혜택 좋음
106,아고다 최고입니다
107,저렴한 캐시백 프로모션 좋아요
108,허위 호스트들만 관리해주면 완벽
109,아고다에서 숙소 예약하고 예약 확정서도 받았는데 예약번호로 조회를 하면 예약이 안 되었다고 나와 요 고객센터에 전화해도 전화는 아예 불가능하고 어디에 물어봐야 되나요
110,예약이 잘못되는 순간 돈 날리는 구조임 고객센터 일 동안 정확하게 통 걸었는지만 결국 연결 안 됨
111,국내외 모두 좋아요
112,굿굿 아주 편리합니다
113,같은 곳인데 더 저렴해요
114,고객센터 왜 있는지 모르겠음 처리도 똑바로 안 되고 일정 변경도 호텔 측에서 된다고 해서 아고다에 변경해 달라고 했더니 호텔에서 거절했다는 답변 받은 근데 호텔에서는 아고다에서 연락받은 적 없다고 함장 난하는 것도 아니고 연락도 안 해놓고 왜 거짓말하는 건지 농락하는 것도 아니고 어이없음 믿을 만한 업체가 못 됨
115,예약 무료 취소가 좋네요
116,결제 시 페이도 사용할 수 있고 이전보다 사용하기 편해졌어요
117,카드번호 넣는 게 잘 안 적어져 불편했어요
118,항상 잘 이용하고 있습니다
119,할인 쿠폰 아고다 캐시백 등 좋아요
120,두 달 전에 일에 푸껫에 다이아몬드 클리프 호텔 예약했다가 예약가가 낮아서 그런 건지 일방적으로 아고다에서 취소 처리가 오늘 날짜로 되었습니다 제가 취소한 것이 아닌 증거는 환불 불가 특가 상품이었기 때문입니다 일단 카드 취소 중이라고 되어 있기에 기다려보겠습니다만 제가 취소한 것도 아닌데 환불도 안 된다면 가만히 있지는 않겠습니다 덕분에 이 날짜에 급히 다른 곳 숙소 잡느라 돈을 두 배 넘게 지급해야 했네요
121,예약이 바로 취소도 안 되고 고객센터 연결도 안 되고 완전 자기네 맘대로 하네요 환불도 안 된다고 그냥 아고다 안 쓰는 게 답인 듯
122,여기가 저렴하고 편리한 것 같아요
123,아고다 앱에서 계산했는데 호텔에서 계산이 안 되어 있다고 계산하라고 해서 두 번이나 계산했네요 아고다에서 돈을 왜 가져갔는지 문의도 안 되네요
124,쉽고 빠르게 예약할 수 있어서 좋네요
125,숙소 예약 취소 창이 없군 요 취소할 수 있는 전화번호 좀 주십시오 사용이 너무 듭니다
126,가격비교하고 예약했어요
127,매우 만족합니다
128,쓰레기 어플 완전 강매 수준 임ㅋㅋㅋㅋ 한번 예약하면 취소 안됨이 딴 어플 처음 보네 삭제한 다이 거 ㄹㅇ쓰지 마세요 실제 결재할 때랑 가격 차이 개심하고 거의 사기 수준임 얘네 고소할 생각임 ㅇㅇ뭔쓰지를 않았는데 취소를 아예 못하게 해놓냐ㅋㅋㅋ
129,결제정보 입력에 약간의 오류가 있음
130,지금은 불친절해서 이용 안 합니다
131,왜 이렇게 앱이 잘 안 열리나요
132,캐시백 리워드 예전에는 웹으로 가능했던 걸로 기억하는데 이젠 왜 앱에서만 가능한지 모르겠음 앱 강매하는 거 같아 별로임
133,절대 다운로드하지 마세요 결재가 두 번이나 중복되어 있어서 환불하려니 전화도 안 되고 환불도 안 되었습니다 망할 것들입니다 동생 카드로 결제했다가 욕 듣고 너무너무 고통받았네요
134,이유는 모르나 좀 오류가 있는 거 같음
135,여행 시 항상 잘 사용하고 있어 요거의 항상 최저가에 카드사와 할 일 혜택도 많아서 너무 좋아요
136,타 사이트보다 저렴하고 원하는 숙소를 빠르게 구할 수 있어 좋았음
137,간편하고 찾기가 쉬워요
138,ex cellent
139,늘 느끼지만 깔끔하고 좋아요 UI 짱
140,아고다 좋습니다
141,저렴한 예약 사이트
142,앱 내부 예약 청과 채팅창에서는 결제가 안 되었다고 뜨는 데 은행에서는 돈이 나갔고 이메일에서도 결제가 되었다고 메일이 왔습니다 그리고 알아서 취소되고서는 취소 메일도 오지 않네 요 고객센터 대응도 오래 걸려서 다시는 안 쓸랍니다
143,사용 편리하고 좋아요
144,할인율이 좋아요
145,아고다 웹페이지는 로그인이 가능한데 어플에서는 로그인이 되었다가 오류가 난다고 하면서 로그인이 안 됩니다 페이스북 로그인이었습니다
146,정말 끔찍한 앱 내가 본 것과 다르게 취소 불가로 예약됨 바로 예약 내역 확인해서 분도 안 되어서 취소하고 싶어도 불가능 고객센터는 봇밖에 없어서 앵무새 같은 똑같은 말만 되풀이 전화번호 간신히 찾아서 전화하면 못 기다리고 강제로 종료 이메일도 간신히 찾아서 보냈더니 영어로 응답 환불도 개월 안에 써야 하는 아고다 캐시로 해주겠다는데 그냥 안 하고 말 음어 프리도 뭘 하려면 계속 멈추고 것 다 켜야 하고 진짜 어플도 고객 대응도 다 환장할 노릇임
147,여기 어때야 놀자 보다 저렴히 숙소 구했어요ㅎ
148,숙소가 많고 좋아요
149,일단 나와 있는 가격이랑 결제금액이 다르고 요 결제가 막히기도 하고요 만 원이라고 미끼 던져놓고 막상 만 원이 결제돼서 호구될 뻔했습니다 숙소 예약 오류 때문에 시간을 끙끙댔네요 탈퇴도 이메일로 보내야 탈퇴할 수 있다는 게 어처구니 없네 요 리뷰 보니까 카드 등록해두면 해킹도 당할 수 있다네요 범죄에 이용되기도 하고 예약 내용이 도중에 바뀌기도 하고 결제 시 가격이 달라지고 아주 가관이네요 제가 이용해 본 모든 어플 중에 최악입니다 다른 숙박업소 예약 어플 많은데 그걸로 하세요 모든 지 이것보다는 나을 겁니다
150,상품설명에 캐시백 리워드 준다 해서 결제했더니 예약 정보에 캐시백 리워드가 아예 없더군요 그래서 고객센터에 왜 캐시백 리워드가 없냐고 메일 보내니 그 상품은 원래 캐시백 리워드가 지원되지 않는 상품이라 줄 수 없답니다 지원되지 않는 상품이라면 상품 설명에 언급하지 말아야죠 소비자 우롱하는 회삽니다
151,모든 호텔 여행사 예약만 한곳을 할 수 있어요
152,시스템이 너무 불편함
153,빠르고 정확히 원하는 정보를 찾아줍니다 만족합니다
154,
155,숙박 앱 중 가장 좋은 조건을 찾아 주네요
156,정말 너무너무 좋은 숙박 앱입니다 프로모션도 많고 호텔도 많고 제일 먼저 오픈도 되고 요 감사합니다
157,이름을 알고 있는 숙소를 바로 찾기 할 수가 없다
158,방도 잘 잡히고 좋아요
159,영어랑 한 글이 랑 랙 걸리고 이벤트 페이지에서 넘어가면 화면이 안 뜸
160,다른 사이트 랑 비교해도 저렴해요
161,캐시백 리워드 좋아요
162,리워드 받기 정말 어렵다 캐시백 쓰기 곤란하게 만들었다 특가라는 상품으로 예약 취소 환불이 안 되게 만든 것들이 많아 잘 살펴야 한다 쉽게 클릭하면 안 되다 군데군데 함정이 있다 싱가포르에 회사를 둬서 소비자 보호받기 어렵다 국내 상담 센터도 없다 어플 내에 상담 내역도 예약에만 일부 안내된 다 약관도 회사가 절대 유리하게 해놓고 이메일도 한국어로 선택한 고객이라도 한국어 지원안 한다 피해본 것을 하소연할 곳도 없다 특가 예약 모르고 클릭하면 취소 못하고 환불도 못하고 날림 주의 리 워드도 일부 카드로만 받을 수 있고 주문한 카드 외에 다른 카드를 요구하기도 하고 최대한 까다롭게만 듦 절대비 추천 리워드도 너무 오래 걸려까먹게만 듦 숙소 체크아웃 후일 이후에나 신경 겁나게 써야 겨우 받게 만들고 바로 리워드 만료 처리하기도 하니 신경 엄청 써야 자동 리워드는 절대 안 해준다 일자리 단체방 개개 따로 결재한 것 중개만 요청되고 개는 만 원 리워드 만료로 나옴
163,내용이 잘 표시되어 있긴 한데 방 크기가 거의 표시 안 되어 있고 객실 사진이 없어 결정할 때 좀 불편하네요
164,빠른 결제 방식이 좋습니다
165,뷰가 좋을 듯합니다
166,금액 낚시 질 너무 싫어 요리 워드 포인트 바로 지급도 안 되고 유효기간도 엄청 짧은데 그거 받을 경우 얼마라고 나오는 건 좀 아니지 않나 싶어요
167,금악이 변하긴 하는데 왜일 카요
168,며칠 동안 로그인이 되지 않습니다 로그인 되었습니다라는 문구가 떴다가도 죄송하다는 말이 뜨면서 로그인이 되지 않습니다 구 글로 그린 이메일로 그인 휴대폰 로그인 전부 안 됩니다
169,thisistheworstexperienceevertheyoverbookedmyreservationA ndwhyaretheysoconfidentoftheroverbookingIcanneverunderstandtheattitudeyous erveIhaveruinedmyday andwastetaxifees forthis incomp rehens ibles itu ation Theonlythingyou cangivemeissucharefundIcannotstandforthispoors erviceIconsistbettercompensationcallmeback
170,저렴합니다 빠르고 정확합니다
171,verygood
172,잘 사용했습니다
173,다른 어플보다 훨씬 쌈
174,인터페이스가 거지 같음
