date,date,content
60,60,고객센터 연락 너무 안되고 여행 가서 숙소가 일방적으로 예약취소했는데 적절하게 필요한 시일 내에 조치도 안 취했으면 다시는 안 쓸 거임
61,61,해외여행 갈 때는 무조건 아고다에서 예약합니다 쉽고 싸고 타 사이트랑 비교하면 무조건 다 좋습니다
62,62,동의를 다했음에도 불구하고 결제가 몇십 분 동안 안됨
63,63,페이스북 로그인이 안 돼요 웹에서는 잘 되는데 앱은 영 못쓰겠네요
64,64,웹에서는 편했는데 어플은 숙소 검색조차 제대로 안됨
65,65,간결하게 구성이 잘 돼있어서 좋습니다
66,66,늘 잘 이용하고 있어요
67,67,자세한 정보가 도움이 많이 됩니다
68,68,페이스북으로 로그인이 왜 안되죠 빨리 고쳐주세요
69,69,깨끗하고 편하고 조용하게 쉬었어요
70,70,항상 애용하는 숙박 앱
71,71,페이스북 로그인 오류 떠요 그리고 카드 무이자 할부 가능하다 하면서 결제할 때 뜨지도 않고 뭐 하자는 걸까요
72,72,굉장히 오류가 심함 오류가 났을 시 한번 결제 진행하면 더 이상 손대지 말고 다른 호텔도 잡지 말고 시간은 기다릴 것 나중에 결제 메일 엄청 많이 온다
73,73,응가 치 치 차차
74,74,호텔 예약 좋아요
75,75,아고 다 싸고 좋네요
76,76,이야 여기다가 댓글 닫아주 심되 걸 왜 이메일로 답장해서 리뷰글 수정해 달래 웃기네 여기 앱 쓰지 마세요 환불 처리 똑바로 해주지도 않고 무슨
77,77,입지 좋고 가 성비 높고 깨끗하고 쾌적한 곳으로 매년 선택하고 있습니다
78,78,편해요 간편하고
79,79,언제나 편리한 예약 좋은 가격 형성
80,80,가격 다르고 장바구니 안 넣어지고 뭐만 하면 비싸지고 할인 코드 안 받고 아주 난리도 아니면 첫 여행에 급한 거 아니었으면 다신 안 쓰고 싶음
81,81,사용이 편리하고 가 성비 좋은 호텔 찾기가 편해요
82,82,사랑합니다 아고 다
83,83,좋아요 쿠폰으로 싸게 예약했습니다
84,84,결제카드를 등록한 것이 다음번 예약에서도 적용 안됩니다 결제 기능 개선하세요
85,85,항공권 취소가 안 되는 사기집단
86,86,결제할 때 버그가 좀 있긴 했지만 그래도 가격이 저렴한 게 잘 나와서 잘 쓰고 있음
87,87,이거 추천받아 처음으로 사용했는데요 예약취소로 고객센터에 연락을 한번 한 거 같습니다 아고다사장은알고있나고객센터는전화돌려놓고논다는거시간분동안통연락자체가안됨그냥만원이만원더주고딴데가더좋음왜전화는받잔어
88,88,좋은데 알림이 너무 자주 떠서 성가셔요
89,89,무슨 최저가인 척 올려놓고 최저 가도 아니고 가장 큰 문제는 환불이 안되는 규정이 도대체 왜 있는 거죠 그런 숙박시설을 올려놓은 것도 문제지만 하루 묵고 최악이라 취소하려는데 취소가 안되면 나머지는 날리던지 계속 묵으라는 건가요 심각하네요 환자인 부모님이 거기 가셔서 춥고 가스 냄새나고 그 일 겪으시고 취소하려고 두 시간 내내 대구에서 저랑 연락하며 알아보는데 방법도 없고 돈도 날리고 여행 도망했어요 인터넷 찾아보니 상단에 있는 거다 그런 식으로 취소 안되는 규정 껴있다던데 노인들이 무슨 수로 그것까지 다 알아보고 예약합니까 고객센터도 오지게 연결 안 되고 숙소에 대해 불만족이어도 환불 안 되고 지금제 여행 망친 것보다 더 화가 나네요
90,90,가격을 한눈에 결재도 빠르고 좋아요
91,91,숙박 어플 중 최고입니다
92,92,현장 직접 결제 항목이 있어서 좋긴 한데 훨씬 비싸네요
93,93,세금 포함 알려주세요
94,94,저렴한 요금 Good
95,95,고객센터 애들 싹수없고 환불 수수료 알려준다 해놓고 안 함 패키지 상품 환불 시 항공 권속 소권 따로 취소해야 하는데 어플의 예약관리에서 볼 수 있는 건 속소 예약권 만나옴 잘못 낚이기 쉬우니 쓰지 마세요
96,96,예약 및 결제가 간편해서 좋아요
97,97,타사 지니어스 레벨인데 넘어왔어요
98,98,생각보다 비싼 청구금액
99,99,잘 쓰고 있어요
100,100,여행계획을짜다보면여러가지변수가생깁니다아고다와전화통화는절대꿈도꾸지마세요통화절대연결안됩니다메일보내면답장은와요답장도오고전화가올때도있습니다아고다는다른엡보다호텔을찾기편하고사진이많이나와있습니다
101,101,여러분 진짜 아고다 이용하지 마세요 개인 정보 카드 절대 등록해두지 마시고요 인터넷에 아고다 예약취소 검색해보시면 아실 수 있으실 거예요 분명히 첫 번째 결제 취소됐다고 해서 다시 했는데 이중결제됐고요 호텔 체크인 후에 알아서 취소하려고 하네 전화 안 받습니다 해외호텔이라 말도 잘 안 통하고요 제 뒤에 다른 한국 분들도 계셨는데 그분들도 결제 확인이 안돼서 호텔에서 또 결제하라고 했다고 하시며 만 원 날렸다고 하십니다 저도 만 원 넘게 날리고 지금 여러 방도로 알아보고 있지만 해결이 안 될 거 같네요 남은 여행 기간이 아주 즐겁겠습니다 망해라 아고 다
102,102,ItshardtochangepersonalinformationandwhenItypecardnumbersIonlycantypeonenumber
103,103,저렴하게 예약
104,104,숙박 선택이 수월해요
105,105,예약 할인 혜택 좋음
106,106,아고다 최고입니다
107,107,저렴한 캐시백 프로모션 좋아요
108,108,허위 호스트들만 관리해주면 완벽
109,109,아고다에서 숙소 예약하고 예약 확정서도 받았는데 예약번호로 조회를 하면 예약이 안 되었다고 나와요 고객센터에 전화해도 전화는 아예 불가능하고 어디에 물어봐야 되나요
110,110,예약이 잘못되는 순간 돈 날리는 구조임 고객센터일 동안 정확하게 통 걸었는지만 결국 연결 안 됨
111,111,국내 외모도 좋아요
112,112,굿굿 아주 편리합니다
113,113,같은 곳인데 더 저렴해요
114,114,고객센터 왜 있는지 모르겠음 처리도 똑바로 안되고 일정 변경도 호텔 측에서 된다고 해서 아고다에 변경해달라고 했더니 호텔에서 거절했다는 답변 받음 근데 호텔에서는 아고다에서 연락받은 적 없다고 함장 난하는 것도 아니고 연락도 안 해놓고 왜 거짓말하는 건지 농락하는 것도 아니고 어이없음 믿을만한 업체가 못됨
115,115,예약 무료 취소가 좋네요
116,116,결제 시 페이도 사용할 수 있고 이전보다 사용하기 편해졌어요
117,117,카드번호 넣는 게 잘 안 적어져 불편했어요
118,118,항상 잘 이용하고 있습니다
119,119,할인쿠폰 아고다 캐시백 등 좋아요
